Id|Name|County
23739|Elimundani Health Care|EMBU
23737|Uchudan Medical clinic|MACHAKOS
23736|Zamzam Nursing Home RHamu|MANDERA
23735|Mark's Ever Health Care|NAKURU
23733|MPAGAS|MARSABIT
23732|Medanta Africare Thika|KIAMBU
23731|Kaka  Medical Center (Ndumberi )|KIAMBU
23730|Bliss GVS Healthcare Limited (Kiambu Town )|KIAMBU
23729|Julia Huebner Medical Centre|KISUMU
23738|Kory Family Hospital Kimilili|BUNGOMA
23728|Modogashe Nursing Home|GARISSA
23727|Kipsaina Medical Clinic|TRANS NZOIA
23726|Medmax Medical Centre|LAIKIPIA
23725|Mtomondoni Community Clinic|KILIFI
23722|Wanjerere medical clinic|MURANG'A
23721|Kwale Bliss|KWALE
23720|Momsigonga Medical Centre|MIGORI
23719|Vebeneza Medical Clinic|NAIROBI
23718|Bahati Tassia Medical Centre|NAIROBI
23717|Sante-Reva Healthcare|NAIROBI
23716|Kimandi Unique Meridian Medical Centre|MURANG'A
23715|Rangel Medical Centre|NAIROBI
23713|ST.PAULS EMUSONGA MEDICAL CENTRE|KAKAMEGA
23712|Lisana Dispensary|KISUMU
23711|THE RHAMU HOSPITAL IMAGING AND DIAGNOSTIC CENTRE|MANDERA
23710|Park Eye Centre|NAIROBI
23705|Isaan Medical Clinic|NAIROBI
23704|TOWFIQ MEDICARE|MANDERA
23703|Narok medical care clinic|NAROK
23702|Oasis Maternity and Nursing Home|NYAMIRA
23707|ACK Kaganda Church Dispensary|MURANG'A
23701|Zackmed Medical Clinic|UASIN GISHU
23699|Elelea Dispensary|TURKANA
23698|Moruongor Dispensary|TURKANA
23697|Kenya Oil Dispensary|TURKANA
23700|Rapha Dialysis and Diagnostic Centre|UASIN GISHU
23696|Murang'a High School|MURANG'A
23695|Bethany Dispensary|KWALE
23694|Graceful Medicare|KIAMBU
23684|Netcare Health Services Clinic|KIAMBU
23683|WAMC|NAKURU
23682|Anfac Nursing Home|GARISSA
23681|ICHUCKY Medical Centre|TRANS NZOIA
23680|Ivory health solutions LTD Juja|KIAMBU
23678|Habib Nursing Home LTD|GARISSA
23677|SORI LAKESIDE HOSPITAL SINDO BRANCH|HOMA BAY
23676|Gitamaiyu Medicare Center|KIAMBU
23685|Legei Medical Clinic|KERICHO
23709|Faith Medical Centre Amerikwai|BUSIA
23675|Vantage Medical Centre|MACHAKOS
23674|Sori Lakeside Hospital Annex Nyatike|MIGORI
23673|Mwema Clinic|MERU
23671|St Camillas Medical centre|KILIFI
23670|Sharons Medical Clinic|KWALE
22143|Meru Jordan Hospital Ltd|MERU
23668|BAHARINI HEALTH CARE MEDICAL CLINIC|UASIN GISHU
23686|Joykim Medical Clinic|EMBU
23672|Holani Medical  Clinic|KILIFI
23665|Ladopharma Medical Centre-Annex Rongo|MIGORI
23687|Mabwaita|BOMET
23688|Kaplelach|BOMET
23689|Tabarit|BOMET
23664|Jenspa Medical clinic|NYERI
21547|Ndatani Dispensary (Kaloleni)|KILIFI
23662|Dr. P. W. OKETCH CLINIC|KAKAMEGA
23661|Lumumba Health Unit|SIAYA
23660|Church of God in Christ Medical Centre|SIAYA
23692|Highway Medical Clinic-Kieni East|NYERI
23656|Kaare Health Care|THARAKA-NITHI
23655|Rehnet Medical Centre|NAIROBI
23658|Foundation for people with Epilepsy|KILIFI
23654|Rehema Medical Clinic Kisauni|MOMBASA
23666|Makomboani Dispensary|KILIFI
23653|Madzimbani Dispensary|KILIFI
23652|Platinum Healthcare Centre|MOMBASA
23651|Limuru Cottage Cottage|KIAMBU
23649|Mnyenzeni community medical clinic|KILIFI
23648|Eldoret Medical Diagnostics|UASIN GISHU
23647|Eastern Gate Medical Clinic|KIAMBU
23646|Alphima Medical Clinic|UASIN GISHU
23690|Ropheka M.C|NAKURU
23644|Harmony medical|NYANDARUA
23643|universal medical care|NYANDARUA
23642|MTM medical centre|KIAMBU
23641|Lvct Health Juja|KIAMBU
23693|Texas Coles|BOMET
23640|Alestacare medical centre|KIAMBU
23638|Passionate Care clinic|NAKURU
23637|Salama Health Care and Laboratory services|KIAMBU
23636|BlissGVS Nanyuki Branch|LAIKIPIA
23723|Njoguni Dispensary|THARAKA-NITHI
23634|Kiritiri Medical Healthcare|EMBU
23639|Rojes Medical Clinic|THARAKA-NITHI
23633|HomeTown Dermacare Centre|HOMA BAY
23659|Thome  M.C|LAIKIPIA
23630|Katheri Unique Medical Clinic|MERU
23629|Githongo Medical Clinic|MERU
23628|Apida Medical Clinic|HOMA BAY
23627|Bojiyare Dispensary|WAJIR
23625|G.K Prison Dispensary yatta|MACHAKOS
23624|Lyons Medical Clinic|TRANS NZOIA
23623|German Medical Center(Machakos)|MACHAKOS
23621|Kambiti Dispensary (Imenti North- Meru)|MERU
23622|Aga Khan (Kilifi)|KILIFI
23620|Bliss GVS Healthcare Ltd(Imenti North- Meru)|MERU
23619|Gikumene Menga Medical Clinic (Imenti North)|MERU
23617|Highland Medical clinic|NAKURU
23616|Mahuaini Faith Christian centre health services|MURANG'A
23615|Mombasa West Medical Clinic|MOMBASA
23614|Medicross Jubilee Mombasa|MOMBASA
23613|Kiranga dispensary|MURANG'A
23612|Siera Flora Clinic|NAKURU
23610|Kachiuru Dispensary|MERU
23609|Fina Medical Nursing Home|KAKAMEGA
23608|Ebenezer Health Care|SIAYA
23607|Medijav Medical Services|SIAYA
23606|GK Prison Medium (Garissa)|GARISSA
23605|Mustaqbal Northern Medicare|GARISSA
23604|Stirling Medical Centre|BUSIA
23603|EAGLES MEDICAL CENTRE|NANDI
23601|Grace Medical Clinic Kamuwongo|KITUI
23600|Carwash Community Clinic|KISUMU
23599|Ahava Medical Centre|KISUMU
23598|Olivine Care Clinic|NAKURU
23597|Pearl Medical Clinic|KIAMBU
23596|Abundant medical|KIAMBU
23595|Rimaal Prime Community Hospital|MACHAKOS
23593|Mitsajeni Dispensary|KILIFI
23591|Oasis community medical clinic-kenol|MURANG'A
23590|Adonai Medical Clinic|KAKAMEGA
23587|Bisunu Dispensary|BUNGOMA
23588|Tumaini medical centre kabati|MURANG'A
23586|FRONTAL MEDICAL CLINIC|MIGORI
23585|Boskem Medical clinic|KIAMBU
23626|Boa Dispensary|WAJIR
23582|Capitalcare Medical Centre|KAKAMEGA
23581|Mumbi View medical Clinic|MURANG'A
23580|Eva Eye Clinic(machakos)|MACHAKOS
23579|County Health Services|MURANG'A
23578|Anyiko Medical Clinic|SIAYA
23592|Medicross Medical Centre|UASIN GISHU
23577|Jemron Medical clinic|NAKURU
23576|Avenue Healthcare ( Changamwe Clinic)|MOMBASA
23575|Njagimu Medical Centre|NAKURU
23583|Misufini Medical Clinic|KILIFI
23584|Bliss GVS Healthcare Ltd. Kitui|KITUI
23589|Northlands Medical Clinic|MURANG'A
23573|Efombo Medical Clinic|KWALE
23571|labram Medicare|MACHAKOS
23568|The Karen Hospital Limited(Naivasha)|NAKURU
23567|Afnaan Health Care Services|GARISSA
23569|Wonyoi Dispensary|WEST POKOT
23564|Godness Medical Clinic|MERU
23561|Jotram medical center|KIAMBU
23691|St Catherine of Siena Mbaranga  Catholic Dispensary|MERU
23560|Koitoror|UASIN GISHU
23559|THE NAIROBI HOSPITAL WARWICK OUTPATIENT CENTER|NAIROBI
23558|Cheplasgei Dispensary|UASIN GISHU
23556|Githiga Dispensary|MURANG'A
23557|Beyond Zero Mobile Clinic Endebess|TRANS NZOIA
23555|Gitugu Dispensary|MURANG'A
23554|Ihigaini  Dispensary|MURANG'A
23553|Githunguri  Dispensary|MURANG'A
23552|Kiungururia dispensary|NAKURU
23551|Ubuntu Afya mazeras|KWALE
23548|Bliss GVS Health Care limited|NYANDARUA
23547|Musamba Medical Clinic|KAKAMEGA
23572|Bima Yetu Health Services|BUNGOMA
23635|SAPTA KAYOLE|NAIROBI
23546|Wa-Theru Medical Clinic|KIAMBU
23714|Voi Eye Care|TAITA TAVETA
23545|Cherangani Eye & Optical Services|TRANS NZOIA
23544|The Aga Khan Health Service|KWALE
23542|St.Marys Mother & Child Hospital (Kiambu Town )|KIAMBU
23543|Star Hospital Kisumu -Annex|KISUMU
23549|Bliss GVS Healthcare Ltd|NAIROBI
23563|Nagwebonia Highway Medical Clinic|BUSIA
23541|Newa|KISUMU
23540|Huduma centre clinic - Nakuru|NAKURU
23539|Alphil Medical Centre|NAKURU
23538|Bliss GVS Healthcare limited|KAJIADO
23537|Soal Medical  Centre|KAKAMEGA
23536|Kiawarigi Medical Clinic|NYERI
23534|Bliss GVS Health Care|KISUMU
23535|Family Focus Medical Clinic|NAKURU
23530|Nabulon Dispensary|TURKANA
23667|Aga khan medical centre kapsabet|NANDI
23528|Vertical care life|NANDI
23527|Greenspan Medical Centre|EMBU
23526|SHIVLING MEDICAL CENTER|MIGORI
23525|Salimak Clinic|MERU
23524|Marsabit Bliss GVS Health Care Limited|MARSABIT
23523|Bliss Gvs Health Limited Kerugoya|KIRINYAGA
23521|Medicure Medical Centre|KIRINYAGA
23522|MWIREGWA DISPENSARY|HOMA BAY
23602|Jamia Medical Solutions (Machakos)|MACHAKOS
23518|Aljezeera Hospital|GARISSA
23520|Gabi Medical Clinic|SIAYA
23519|Imani Medical Clinic & Laboratory Services|TRANS NZOIA
23517|The Mesu Centre|NAIROBI
23516|Sagitian Medical Clinic|BARINGO
23515|"Tionybei Medical Clinic| Marigat"|BARINGO
23514|Tionybei Medical Clinic Kabartonjo|BARINGO
23512|Testimony Medical Clinic|KAKAMEGA
23513|Spica's Medical  Centre|BUNGOMA
23510|Exselle Health Care|NAIROBI
23511|Ikerege Medical Center|MIGORI
23509|AKUKURANUT DROP OFF POINT|BUSIA
23508|City Health Limited|NAIROBI
23507|Bliss GVS Health Care Limited-Siaya|SIAYA
23506|Star eye care center|MANDERA
23504|Rubiri Medical Clinic|MERU
23503|Neema Medical Clinic (Machakos)|MACHAKOS
23502|Bliss GVS Health Care Limited|GARISSA
23529|Pioneer|KISII
23501|Shifaa Medical Clinic|GARISSA
23505|Bliss GVS Healthcare-Embu|EMBU
23499|NewHope Medical Clinic|NYERI
23500|KAKAMEGA HILLTOP MEDICAL CLINIC|KAKAMEGA
23498|StellaMed ENT Clinic(Naivasha)|NAKURU
23497|Destiny Medical Clinic (Mutituni)|MACHAKOS
23532|Lagdima dispensary|WAJIR
23531|Maumau dispensary|WAJIR
23493|Lyon And Lewis HealthCare (L n L X-Ray and Imaging Centre Naivasha)|NAKURU
23492|King David|KAJIADO
23491|LVCT HEALTH KIBAGARE|NAIROBI
23490|Hashi Medical Centre Limited|NAIROBI
23489|Garissa ENT Medical Centre|GARISSA
23488|Brain Spine and Rehabilitation|NAIROBI
23487|Agano Medical Clinic|MERU
23485|Meditest Diagnostic Services Limted|NAIROBI
23486|Chaka Tiba Medical Clinic|NYERI
23482|Mission Care Nursing Home|NAIROBI
23481|Bahati Memorial Clinic|MOMBASA
23483|Geothermal Development Company|NAKURU
23480|Kinan Medical clinic|MURANG'A
23533|Qara Dispensary|WAJIR
23594|Kenyara|KISII
23477|Almisbah Nursing Home|MANDERA
23476|Mwichiune Dispensary|MERU
23475|Menwe Dispensary|MERU
23474|Kiarene Dispensary|MERU
23473|Ithitwe Dispensary|MERU
23471|Emdin Medical Clinic|NANDI
23472|Bububu Community Medical Clinic|MOMBASA
23470|St Carol Medical Healthcare Services|MOMBASA
23829|Elbor Dispensary|MARSABIT
23843|Kiptengwer|ELEGEYO-MARAKWET
23467|SAPTA Trust(Githurai)|NAIROBI
23466|New Hope Medicare Centre Tinderet|NANDI
23463|St Paul Dispensary (Maua)|MERU
23462|Buckner Clinic|BUNGOMA
23461|Linda Uzima Medical Centre|NAKURU
23458|Kolani Dispensary|BUNGOMA
23457|Bliss GVS health care - Nakuru|NAKURU
23456|Medicross limited|NAKURU
23455|Africare Limited- Nakuru|NAKURU
21620|Machakha Dispensary|BUNGOMA
23459|Libahlow Dispensary|GARISSA
23453|Asad Medical Centre|GARISSA
21608|Talitia Dispensary|BUNGOMA
23450|Shepherds Medical Centre|TURKANA
21483|Mwikhupo Dispensary|BUNGOMA
21481|Muanda Dispensary|BUNGOMA
23447|Benane Qokar Dispensary|GARISSA
23446|RHAMU NURSING HOME|MANDERA
23445|Kamwaura Dispensary|NAKURU
23444|Belba Dispensary|NAKURU
21546|Kasemeni dispensary|KILIFI
23451|Tiba Bora Medical Centre|KIAMBU
23441|Rapogi Dispensary|SIAYA
23439|AAR Donholm|NAIROBI
21489|Awach Health Centre|HOMA BAY
23438|City Jacaranda SDA Church Clinic|NAIROBI
22190|Kilusi Health Centre|HOMA BAY
23434|Mediheart Outpatient and Maternity Home|NAIROBI
21292|Nyagwara Dispensary|SIAYA
23432|Ringa Health Centre|HOMA BAY
23611|AAR Health care buruburu|NAIROBI
21488|Odino Health Centre|HOMA BAY
19865|Wikoteng Dispensary|HOMA BAY
21491|Harambee H/C|HOMA BAY
21549|Torochmoi Dispensary|UASIN GISHU
23478|Andiwo Dispensary|HOMA BAY
23442|Ongako Dispensary|HOMA BAY
21550|Kongnyalil Dispensary|UASIN GISHU
21304|Ruma Ubuntu Afya Clinic|SIAYA
21305|Omboye Ubuntu Afya Clinic|SIAYA
21431|Linda Linda Jamii Clinic|SIAYA
21551|Kaprobu Dispensary|UASIN GISHU
23479|Kawanga dispensary|HOMA BAY
23418|Chepkoilel Sisiwa Dispensary|UASIN GISHU
21540|Shelter of Hope Medical clinic|HOMA BAY
23416|Kiigene|MERU
23411|Sinendet Health Options|NANDI
23410|Joy Paediatric Medical Center|KISUMU
23409|Mioro Dispensary|MURANG'A
23408|Kiamuturi Dispensary|MURANG'A
23407|Kora Dispensary|MURANG'A
23406|AFARSHANLE DISPENSARY|WAJIR
23405|Agakhan University Hospital Valley Arcade Clinic|NAIROBI
23423|Equra Health Kenya|UASIN GISHU
23404|Muhotetu Medical Clinic|LAIKIPIA
23401|Modogashe Clinic and Lab Services|GARISSA
23400|Moyale Afya Medical Clinic|MARSABIT
23399|Bristol Park Hospital Utawala|NAIROBI
23397|Osani Community Health & Dev Centre|HOMA BAY
23396|Gagaba Dispensary|MANDERA
23618|Lomi Dispensary|TURKANA
23395|Lokapelpus dispensary|TURKANA
23393|Bukaan Deeq Nursing Home|MANDERA
23415|Hope World Wide Kenya Tassia|NAIROBI
23550|kihuho milangine dispensary|NYANDARUA
23392|Jamia medical services|MARSABIT
23391|Sofya Health Care|MAKUENI
23390|Action Ministry Clinic|KWALE
23389|Jerusalem Medical Centre|KWALE
23388|Kirathimo Medical Clinic Makuyu|MURANG'A
23387|Afya Bora Medical Clinic (Meru-Imenti North)|MERU
23385|Better Living Hospital|NAIROBI
23384|Kinphil Medical Centre limited|MACHAKOS
23383|Aims Medical Centre EPZ|MACHAKOS
23382|Busia Healthsidelab Medical Clinic|BUSIA
23381|Upendo dermatology|NAKURU
23380|Tuweta Medical Clinic|TAITA TAVETA
23379|Kathwana Dispensary|THARAKA-NITHI
23443|Aga KhanUniversity Hospital Thika Medical Centre|KIAMBU
23378|Nyambene Medical Clinic(Karama)|MERU
23377|Maple Grove Medical Centre|KIRINYAGA
23376|TRINITY MEDICAL CLINIC|KIAMBU
23375|Shamsu Health Care|GARISSA
23414|Kware Dispensary|NAIROBI
23373|Mihang'o Community Dispensary|NAIROBI
23372|BLISS GVS HEALTHCARE LIMITED BONDO|SIAYA
23374|Densmile Dental Clinic|KAJIADO
23370|Medwin Medical Centre|KIAMBU
23386|Liberty Medical Clinic-Kangundo|MACHAKOS
23367|Roseben Medical|NAKURU
23366|Kakuzi Limited Makuyu Dispensary|MURANG'A
23364|Airtech Medical Clinic|THARAKA-NITHI
23365|Gakira Family Health Care|MURANG'A
23368|Kombani Mat Clinic|KWALE
23427|Nemu Medical Clinic|KAKAMEGA
23429|Bunyala Medical Clinic|KAKAMEGA
23361|Bliss GVS Health Care (college House)|NAIROBI
23360|Bliss GVS Health Care (Telepost Clinic)|NAIROBI
23359|Makindu Medical Center - Makindu|MAKUENI
23358|Gaceraka Dispensary|THARAKA-NITHI
23357|Gakirwe Dispensary|THARAKA-NITHI
23362|Mariakani Nursing Home and Rehabilitation Centre (South C)|NAIROBI
23356|Kwabome Medical Clinic|MERU
23657|Bliss gvs medical Center|NYERI
23355|Lucy's Medical Clinic|MERU
23354|Jeka Health Care|MERU
23353|Bushira Medical centre|TANA RIVER
23351|Liban Chemist and Optical Services|MARSABIT
23349|Destiny Medical Centre|KIAMBU
23430|Flomed Medical  Clinic|KIAMBU
23346|Sunrise Medical Clinic|MAKUENI
23343|Devans Medical clinic|NAKURU
23344|Neo Solution Medical Center|MAKUENI
23340|Goodlife Medical Centre Kambu|MAKUENI
23338|Medisprings Medical Centre|NAKURU
23436|Amani Medical Centre|UASIN GISHU
23336|Primex Medical Clinic|MERU
23335|Githuya DisGpensary|MURANG'A
23334|Star General Medical Centre|NAIROBI
23331|St.Teresa Cfw Clinic|EMBU
23329|St.Augustine CFW Clinic(Embu)|EMBU
23328|Good Shepherd Life Care Centre(Embu)|EMBU
23327|Ahero Annex Healthcare Ltd|KISUMU
23326|Phense Medical Clinic|KIRINYAGA
23323|Mvindeni|KWALE
23322|Ganja La Simba|KWALE
23341|Karamah Medical Clinic|MERU
23316|Partners In Life Support Health Services (KARIAMU)|NYANDARUA
23317|Kayole Dispensary|NAKURU
23315|IMARAH|KIAMBU
23314|Ndoroto Dispensary|NAKURU
23312|Chanzou Dispensary|KWALE
21256|Gandini community dispensary|KWALE
23309|Joscare Medical Clinic|TAITA TAVETA
23310|Alfatah|TAITA TAVETA
23304|Utange Medical Centre|MOMBASA
23303|Maraba Pharmacy Clinic|KAKAMEGA
23302|Albertol Medicare|KAJIADO
23305|Nyali Bridge Hospital|MOMBASA
23301|Cheboin Community Medical Clinic|KERICHO
23300|MIRAJ2|MANDERA
23297|Kabete Gardens Hospital|KIAMBU
23402|Qoqar|WAJIR
23484|Lutunda medical centre|TRANS NZOIA
23294|Stadium Medical Clinic|MOMBASA
23293|Polycare Medical Clinic|KITUI
23292|Pevlink Services Ltd|BUNGOMA
23291|Sky Medical Center|LAIKIPIA
23496|Ninelle Health Care Mjini Clinic(machakos)|MACHAKOS
23290|St. Paul's Dawa Medical clinic|MIGORI
23289|Nelion Doctors Plaza|NYERI
23288|Reale Hospital Clinic|NANDI
23285|Chaani Catholic|MOMBASA
23284|Saphire Healthcare Nursing Home|MANDERA
23282|The Avenue Medical And Diagnostic Centre (Mikinduri)|MERU
23279|REHEAL MEDICAL CLINIC|BARINGO
23277|Kisumo Medical Centre|KITUI
23276|Kirimachuma APLSC Dispensara|MERU
23275|Thagana County Medical Centre|KIRINYAGA
23273|Chepsoo Medical Centre Tinderet|NANDI
23271|Guardian Family Care Likuyani|KAKAMEGA
23266|Friend's Medical Clinic Matunda|KAKAMEGA
23270|Fino Nursing Home Limited|MANDERA
23264|Kwa Song'e Dispensary|KITUI
23261|New Point Medical Centre|NAKURU
23259|Mwananchi medical Clinic|NAKURU
23258|Nakuru Conventional Medical clinic|NAKURU
23257|Lans Medical Clinics|MERU
23274|Northgate Nursing Home|GARISSA
23253|Mwisho wa Lami Dispensary|NAKURU
23248|Awenasa Medical Clinic|SIAYA
23280|St. Merryl|KIAMBU
23247|Geokings unique medical clinic|MERU
23246|The Woodland Hospital|MANDERA
23236|Ngomannex Medcare Clinic|MAKUENI
23254|Medilink plus clinic- Rongai Nakuru|NAKURU
23234|Alpha|KIAMBU
23235|Kirinyaga optical and Healthcare|KIRINYAGA
23232|Thika Annanas Medicross Clinic|KIAMBU
23231|Bakari Medical Clinic|KWALE
23255|St.Camillah clinic|NYANDARUA
23230|Gulumuse Dental Centre|KWALE
23229|Grawin Medical Clinic|KIAMBU
23339|Akaiga Dispensary|MERU
23228|Quality Medical Care|NAKURU
23226|The International Clinic|KIAMBU
23223|Medicross Clinic Megacity|KISUMU
23224|Cancer Care Kenya|NAIROBI
23222|Medicross Clinic|KISUMU
23218|Kaathi Dipensary|MERU
23241|Medicross Embu|EMBU
23217|Mama Rael Memorial Health Centre|MERU
23227|Ebenezer Medical Clinic|TRANS NZOIA
23215|Jocham Community Clinic Mtwapa|KILIFI
23212|Ihiga dispensary|MURANG'A
23214|Mathioya Medical Clinic|MURANG'A
23211|Doctors Plaza Garissa|GARISSA
23205|Immanuel Medical Clinic|MERU
23244|Busle Nursing Home|MANDERA
23204|AIC Kijabe Hospital Nairobi Medical Centre|NAIROBI
23203|LELWAK MEDICAL CLINIC|NANDI
23202|LESSOS MEDICAL CLINIC|NANDI
23201|HAVEN HOSPITAL|SIAYA
23200|bar Hostess Empowerment & Support programme-Roysambu|NAIROBI
23784|Power Plus Medical Clinic|TRANS NZOIA
23278|Afya Health Essentials Kangari|MURANG'A
23197|Nyakegogi Disp.|NYAMIRA
23196|Emenyenche Dispensary|NYAMIRA
23198|Kianungu Dispensary(MANGA|NYAMIRA
23192|Kambini Disp.|NYAMIRA
23195|Riamoni disp|NYAMIRA
23191|Riontonyi Dispensary|NYAMIRA
23189|Africare Ltd - TRM|NAIROBI
23188|Kalmba Health Care Centre|MAKUENI
23185|Matagatani Dispensary|THARAKA-NITHI
23183|Takaba Nursing Home LTD|MANDERA
23412|Gold star drop in centre|KILIFI
23182|Mona Dispensary|NAKURU
23179|Muchiri Medical Clinic|MURANG'A
23178|Tropical Medical Kakamega|KAKAMEGA
23171|Esna Medical Clinic|KIRINYAGA
23169|LakeSide Integrated Medical Services(Naivasha)|NAKURU
23190|Partners For Care Medical Centre|NAIROBI
23167|Kims Uzima Clinic|MERU
23166|Mwobia Medical Clinic|MERU
23164|Royal Medical Center Clinic|SIAYA
23162|Neema Digital Health Solutions(nzangathi)|KITUI
23160|Bar Ober Medical Services|SIAYA
23199|Taita Dispensary|NAKURU
23157|Butieli Dispensary|BUNGOMA
23347|Rinpentiken Clinic|MERU
23156|LANGA LANGA DISPENSARY|NAKURU
21604|Masaita dispensary|NAKURU
21605|Choronok dispensary|NAKURU
21528|Highway medical clinic|NAKURU
21601|Chepkinoyiyo dispensary|NAKURU
21600|Seguton Dispensary|NAKURU
23150|St Rael Home Care|MERU
23149|Kilifi Dental Centre|KILIFI
23148|Maua Family Medical Clinic|MERU
23147|Kapsabet Eye Care|NANDI
23145|Gatundu Womens medical Clinic|KIAMBU
23144|Nem Medical Clinic|NAKURU
23143|Medicross Medical Clinic (Meru)|MERU
23142|Family Solution M edical Centre|MERU
23141|Kwa Mbwiria Medical Clinic|MERU
23146|Westmed Centre|KAKAMEGA
23140|Thome Disp.|LAIKIPIA
23348|Karama Medical Clinic|MERU
23139|Nakuru eye and optical clinic|NAKURU
23138|Samao Medical Clinic|BUSIA
23413|ONGENG COMMUNITY MEDICAL CLINIC|HOMA BAY
23135|Pangani Dispensary (Lungalunga)|KWALE
23298|Plan Med Health Services|KIAMBU
23134|Mtumwa Dispensary|KWALE
23133|Vwivwini Dispensary|KWALE
23132|Pongwe/Kidimu Dispensary|KWALE
23131|Sister's of St. Josepth Catholic Dispensary|KWALE
23130|Afya Bora Medical Clinic|KWALE
23159|Summit MC (Chepilat)|NYAMIRA
23158|Summit MC (Nyansiongo)|NYAMIRA
23129|Bilashaka Dispensary|KWALE
23127|Mbegani Dispensary|KWALE
23137|Mainland Relief Hospital|SIAYA
23126|Mbwaleni Dispensry|KWALE
23128|Mwena|KWALE
23124|Kwale District Eye Centre|KWALE
23123|Josta Medical Centre|MERU
21318|Leeta Dispensary|MERU
23116|Masimba medicare centre|KAJIADO
23118|Shakahola Dispensary|KILIFI
21619|Mewa Drop-In-Centre (Kilifi)|KILIFI
